LSOA CODE,INCOME SCORE,EMPLOYMENT SCORE,HEALTH DEPRIVATION AND DISABILITY SCORE,EDUCATION SKILLS AND TRAINING SCORE,BARRIERS TO HOUSING AND SERVICES SCORE,CRIME AND DISORDER SCORE,LIVING ENVIRONMENT SCORE,Indoors Sub-domain Score,Outdoors Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Children/Young People Sub-domain Score,Skills Sub-domain Score,IDACI score,IDAOPI score
E01000021,0.27,0.13,0.4,35.94,27.9,0.65,36.2,46.01,16.59,3.96,51.85,31.48,40.4,0.43,0.36
E01000022,0.23,0.11,0.18,34.96,27.27,0.6,26.89,28.82,23.03,2.44,52.09,28.17,41.74,0.3,0.35
E01000023,0.19,0.08,0.24,25.24,29.13,0.28,29.46,28.78,30.82,4.29,53.97,26.93,23.56,0.49,0.32
E01000024,0.23,0.1,0.42,35.39,26.21,0.53,28.45,26.86,31.63,1.29,51.13,27.36,43.42,0.37,0.32
E01000025,0.25,0.14,0.46,40.2,26.37,0.7,19.82,19.01,21.44,1,51.74,24.6,55.81,0.4,0.27
E01000026,0.29,0.13,0.5,29.93,25.89,1.14,39.17,28.53,60.44,2.76,49.03,25.77,34.1,0.44,0.28
E01000027,0.33,0.16,0.81,53.45,31.48,1.97,40.39,46.37,28.44,12,50.96,56.49,50.4,0.5,0.32
E01000028,0.35,0.17,0.97,41.06,30.78,0.62,23.17,29.13,11.25,9,52.55,33.99,48.12,0.5,0.4
E01000029,0.17,0.1,0.14,26.28,29.77,1.21,21.06,20.66,21.85,16.83,42.7,23.62,28.93,0.29,0.15
E01000030,0.39,0.15,0.55,35.54,39.11,1.87,61.31,82.06,19.8,28.39,49.84,21.4,49.67,0.62,0.34
E01000031,0.19,0.1,0.15,15.92,25.01,1.33,29.24,16.85,54.03,3.54,46.49,17.29,14.56,0.29,0.21
E01000032,0.2,0.11,0.2,30.63,27.42,1.05,33.48,34.17,32.11,5.01,49.82,24.12,37.14,0.32,0.2
E01000033,0.3,0.15,0.81,44.76,38.4,0.81,25.77,20.7,35.9,26.68,50.12,28.54,60.98,0.44,0.28
E01000034,0.25,0.13,0.65,29.28,36.21,0.28,15.47,11.55,23.31,24.02,48.39,19.8,38.76,0.28,0.34
E01000035,0.2,0.11,0.33,26.64,28.13,0.93,24.06,25.46,21.26,8.74,47.52,16.8,36.48,0.36,0.2
E01000036,0.17,0.07,0.31,24.21,25.22,0.34,23.8,30.24,10.91,0.85,49.59,18.21,30.21,0.27,0.19
E01000037,0.13,0.15,0.04,22.46,27.28,-0.27,14.15,8.62,25.22,18.89,35.67,17.98,26.93,0.14,0.15
E01000038,0.11,0.09,0.1,26.49,22.25,-0.33,28.24,22.25,40.21,1.86,42.64,14.73,38.25,0.17,0.16
E01000039,0.14,0.06,-0.3,14.96,37,0.31,17.24,12.39,26.92,34.17,39.83,12.45,17.47,0.27,0.19
E01000040,0.32,0.17,0.59,40.56,26.63,0.76,22.05,17.26,31.62,2.18,51.08,37.16,43.95,0.53,0.24
E01000041,0.25,0.11,0.17,47.18,27.58,0.83,32.4,34.04,29.13,4.95,50.21,36.64,57.72,0.4,0.25
E01000042,0.34,0.16,0.52,29.27,32.28,0.95,22.31,19.19,28.55,14.03,50.52,26.05,32.49,0.51,0.33
E01000043,0.26,0.1,0.44,31.38,30.78,1.17,25.52,15.2,46.17,13.58,47.98,28.45,34.3,0.42,0.25
E01000044,0.21,0.1,0.16,19.63,26.76,1.51,50.75,40.37,71.5,0.72,52.79,16.56,22.69,0.32,0.2
E01000045,0.26,0.14,0.47,44.46,31.61,1.51,38.76,28.26,59.77,11.69,51.53,40.23,48.69,0.38,0.31
E01000046,0.26,0.13,0.02,26.58,28.4,0.08,26.36,30.08,18.9,8.5,48.31,17.22,35.94,0.38,0.28
E01000047,0.34,0.15,0.53,29,32.54,1.16,40.43,41.87,37.56,7.52,57.56,31.78,26.22,0.5,0.45
E01000048,0.48,0.22,0.87,38.71,38.59,0.59,39.23,43.68,30.34,14.22,62.96,43.64,33.78,0.65,0.45
E01000049,0.39,0.16,0.48,37.08,40.15,0.79,32.94,34.9,29.03,21.49,58.81,36.28,37.89,0.56,0.28
E01000050,0.24,0.13,0.66,17.83,28.28,1.26,40.17,25,70.5,3.35,53.21,14.22,21.45,0.33,0.35
E01000051,0.45,0.22,0.96,35.28,32.25,0.4,54.34,59.38,44.26,4.18,60.33,30.94,39.61,0.58,0.35
E01000052,0.23,0.12,0.38,20.37,32.37,0.34,33.07,28.05,43.11,15.34,49.41,18.3,22.44,0.32,0.37
E01000053,0.28,0.14,0.39,26.02,26.62,0.81,23.47,22.23,25.94,2.26,50.99,17.31,34.73,0.43,0.26
E01000054,0.23,0.13,0.09,39.28,27.49,0.41,25.98,31.84,14.25,4.8,50.17,24.13,54.44,0.31,0.23
E01000055,0.24,0.12,0.17,35.67,27.46,0.59,22.12,22.62,21.13,3.06,51.85,25.03,46.31,0.33,0.32
E01000056,0.31,0.14,0.52,38.62,35.52,0.82,22.74,18.21,31.8,18.23,52.8,25.55,51.68,0.49,0.2
E01000057,0.3,0.13,0.45,40.92,26.22,1.31,36.88,21.66,67.32,1.03,51.41,36.12,45.72,0.47,0.32
E01000058,0.28,0.15,0.7,48.65,26.67,0.49,28.11,25.69,32.96,2.65,50.69,35.39,61.9,0.4,0.31
E01000059,0.26,0.13,0.72,32.75,28.58,0.75,32.37,39.57,17.97,3.96,53.21,26.02,39.48,0.33,0.34
E01000060,0.33,0.16,0.59,37.9,27.93,1.42,26.48,16.48,46.47,6.37,49.5,21.69,54.12,0.5,0.28
E01000061,0.46,0.19,0.94,47.11,31.19,0.37,35.18,41.22,23.11,3.64,58.73,36.17,58.05,0.63,0.41
E01000062,0.29,0.13,0.3,33.7,23.96,0.87,30.35,25.46,40.12,2.76,45.16,34.08,33.31,0.47,0.28
E01000063,0.25,0.13,0.56,48.54,25.2,0.58,31.09,27.61,38.06,1.39,49.01,33.43,63.66,0.4,0.26
E01000064,0.28,0.14,0.46,38.63,27.47,0.61,33.41,25.77,48.67,6.81,48.13,28.57,48.69,0.42,0.27
E01000065,0.26,0.15,0.76,48.14,26.47,0.41,32.67,29.43,39.15,1.21,51.74,35.66,60.62,0.31,0.38
E01000066,0.2,0.1,0.45,14.81,34.08,-0.11,30.38,30.14,30.84,21.48,46.68,5.42,24.2,0.31,0.26
E01000067,0.21,0.09,0.15,13.72,25.18,0.47,28.04,17.36,49.42,11.37,38.99,3.53,23.91,0.32,0.25
E01000068,0.16,0.08,0.07,14.25,29.51,1.13,25.54,16.99,42.64,12.46,46.56,8.79,19.72,0.21,0.28
E01000069,0.14,0.08,-0.11,15.53,19.63,0.09,12.33,6.97,23.06,2.24,37.02,2.83,28.24,0.21,0.14
E01000070,0.13,0.08,-0.07,10.88,21.19,1.15,26.99,17.51,45.95,1.65,40.73,3.98,17.77,0.19,0.17
E01000071,0.18,0.06,-0.16,14.96,26.02,-0.07,18.15,17.57,19.31,7.72,44.32,12.23,17.7,0.3,0.24
E01000072,0.32,0.14,0.75,39.09,25.76,1.54,38.88,22.9,70.85,1.1,50.42,33.38,44.79,0.46,0.35
E01000073,0.27,0.13,0.78,46.51,26.09,0.89,22.77,19.13,30.06,1.18,51,34.8,58.21,0.38,0.36
E01000074,0.27,0.14,0.64,36.87,26.33,0.48,13.73,13.71,13.76,2.87,49.79,22.13,51.62,0.35,0.29
E01000075,0.25,0.13,0.32,33.6,25.51,1.3,38.37,23.68,67.74,4.36,46.66,18.52,48.67,0.39,0.23
E01000076,0.35,0.16,0.83,52.26,28.71,0.84,19.56,20.16,18.35,5.41,52.02,31.64,72.87,0.54,0.33
E01000077,0.27,0.14,0.39,37.84,27.39,0.82,34.75,22.88,58.48,1.97,52.81,28.36,47.31,0.37,0.33
E01000078,0.31,0.14,0.44,40.68,26.25,0.8,37.81,32.26,48.91,0.11,52.39,32.81,48.55,0.46,0.36
E01000079,0.3,0.14,0.58,37.48,29.32,0.29,23.35,19.71,30.63,7.44,51.19,28.38,46.58,0.45,0.39
E01000080,0.27,0.14,0.56,38.56,25.19,0.74,22.83,14.7,39.1,1.58,48.81,26.73,50.38,0.38,0.35
E01000081,0.25,0.12,0.63,42.71,28,0.38,21.96,24.14,17.62,5.65,50.35,21.9,63.51,0.38,0.26
E01000082,0.28,0.16,0.58,33.47,26.16,0.46,34.4,41.4,20.41,2.09,50.23,22.45,44.5,0.36,0.42
E01000083,0.29,0.15,0.71,36.86,25.51,0.87,34.85,28.11,48.34,1.15,49.87,29.78,43.93,0.42,0.33
E01000084,0.25,0.12,0.65,51.77,25.43,0.88,34.06,23.86,54.46,0.76,50.1,48.72,54.82,0.36,0.31
E01000085,0.3,0.15,0.26,47.13,26.94,1.1,35.47,32.34,41.73,1.86,52.02,43.5,50.76,0.49,0.34
E01000086,0.24,0.12,0.63,42.23,26.8,0.5,32.41,33.22,30.81,1.92,51.68,28.59,55.87,0.34,0.3
E01000087,0.29,0.15,0.9,36.65,28,-0.2,29.14,31.01,25.39,2.76,53.23,21.86,51.44,0.34,0.42
E01000088,0.2,0.09,0.51,23.96,24.59,0.77,39.23,29.02,59.64,4.19,44.99,13.81,34.12,0.33,0.25
E01000089,0.24,0.11,0.35,35.24,27.99,0.18,36.85,36.06,38.45,10.47,45.51,25.28,45.2,0.41,0.19
E01000090,0.21,0.09,0.3,30.09,29.02,0.32,29.8,32.55,24.28,10.03,48.01,21.04,39.13,0.32,0.24
E01000091,0.36,0.18,0.83,38.56,31.81,1.33,27.83,25.82,31.85,8.88,54.75,30.8,46.33,0.56,0.33
E01000092,0.24,0.1,0.07,25.78,32.47,0.69,20.88,21.71,19.21,18.98,45.95,16.7,34.86,0.37,0.38
E01000093,0.37,0.2,0.99,36.18,29.44,1.14,41.29,31.85,60.16,4.5,54.38,27.25,45.11,0.54,0.39
E01000094,0.22,0.1,0.33,29.48,45.37,0.7,26.56,30.3,19.08,34.05,56.69,39.16,19.8,0.38,0.28
E01000095,0.22,0.09,0.36,25.82,45.02,1.35,21.77,10.6,44.12,42.24,47.8,27.26,24.38,0.38,0.33
E01000096,0.38,0.16,0.66,40.16,40.64,1.77,40.45,31.08,59.2,27.2,54.07,35.25,45.06,0.58,0.22
E01000097,0.31,0.15,0.63,33.38,27.04,0.7,26.79,21.7,36.97,3.37,50.71,21.51,45.24,0.37,0.44
E01000098,0.29,0.13,0.47,33.34,24.82,0.85,35.63,25.52,55.87,1.02,48.61,23.83,42.85,0.46,0.3
E01000099,0.3,0.14,0.51,38.15,27.76,0.77,34.98,40.04,24.86,7.55,47.98,27.7,48.6,0.46,0.38
E01000100,0.24,0.15,0.59,38.3,25.88,0.72,41.96,35.74,54.39,1.89,49.86,26.09,50.52,0.28,0.28
E01000101,0.28,0.14,0.9,34.32,25.78,0.85,41.25,32.21,59.31,0.55,51,15.13,53.5,0.35,0.34
E01000102,0.26,0.14,0.68,31.1,28.13,0.52,39.13,40.83,35.74,4.91,51.36,21.01,41.19,0.35,0.34
E01000103,0.3,0.11,0.41,38.47,32.93,1.95,28.85,23.5,39.56,15.35,50.5,34.31,42.62,0.5,0.34
E01000104,0.32,0.18,0.69,53.39,34.48,1.29,47.16,44.23,53.04,16,52.96,46.06,60.73,0.48,0.35
E01000105,0.35,0.18,0.75,37.39,26.3,1.01,30.05,28.92,32.3,0.38,52.22,29.73,45.06,0.5,0.4
E01000106,0.34,0.17,0.66,40.15,26.75,1.5,44,57.12,17.78,2.57,50.93,38.25,42.06,0.51,0.36
E01000107,0.18,0.1,0.09,29.3,28.94,0.67,25.94,25.47,26.9,16.35,41.52,21.16,37.44,0.31,0.2
E01000108,0.16,0.1,0.15,26.12,23.04,1.06,39.97,37.77,44.37,1.34,44.75,21.78,30.46,0.36,0.14
E01000109,0.2,0.11,0.33,26.56,27.9,0.76,37.92,31.05,51.68,7,48.81,16.68,36.43,0.31,0.22
E01000110,0.15,0.08,0.01,14.44,22.37,0.41,22.07,18.65,28.92,2.92,41.82,6.8,22.07,0.26,0.14
E01000111,0.24,0.11,0.23,24.23,30.66,0.72,37.9,44.18,25.34,13.98,47.34,12.2,36.26,0.4,0.25
E01000112,0.2,0.08,-0.05,20.99,28.35,1.07,38.99,35.18,46.6,8.5,48.2,13.84,28.15,0.34,0.25
E01000113,0.14,0.07,-0.09,16.48,23.48,0.8,31.37,30.04,34.03,0.97,45.99,15.1,17.86,0.21,0.22
E01000114,0.19,0.09,0.17,27.45,31.62,0.66,32.75,30.88,36.51,20.07,43.17,20.18,34.72,0.34,0.19
E01000115,0.05,0.04,-1.78,2.37,19.45,-0.17,7.08,5.29,10.66,6.07,32.83,0.3,4.44,0.07,0.05
E01000116,0.1,0.05,-1.56,5.36,15.92,-0.11,19.29,14.9,28.05,2.18,29.65,5.09,5.63,0.12,0.21
E01000117,0.09,0.06,-1.39,6.92,24.33,-0.08,17.45,14.69,22.96,15.02,33.64,7.41,6.42,0.15,0.1
E01000118,0.12,0.06,-1.02,5.99,22.43,0.28,22.28,8.1,50.63,10.38,34.47,3.89,8.1,0.19,0.17
E01000119,0.08,0.04,-1.64,1.76,25.63,0.37,19.03,7.25,42.59,19.41,31.85,0.27,3.26,0.08,0.16
E01000120,0.09,0.04,-1.47,2.06,17.23,-0.03,13.89,8.9,23.88,1.54,32.91,1.19,2.92,0.15,0.11
E01000121,0.3,0.15,-0.06,25.21,34.54,0.2,13.82,10.48,20.51,26.49,42.59,31.04,19.37,0.55,0.24
E01000122,0.07,0.05,-1.48,2.8,32.59,-0.72,15.1,10.63,24.03,28.75,36.42,3.18,2.42,0.07,0.15
E01000123,0.11,0.07,-1.43,8.04,35.5,-0.34,13.98,9.3,23.35,33.12,37.87,9.87,6.22,0.16,0.19
E01000124,0.24,0.12,-0.8,12.27,30.25,0.38,35.77,33.38,40.54,13.39,47.12,17.32,7.22,0.38,0.3
E01000125,0.34,0.17,0.03,19.22,32.22,0.72,25.12,9.94,55.5,10.18,54.26,24.75,13.68,0.48,0.38
E01000126,0.38,0.14,-0.16,13.92,36.52,-0.26,15.48,12.15,22.16,15.56,57.48,17.88,9.96,0.52,0.44
E01000127,0.24,0.11,-0.19,19.3,24.36,-0.06,23.3,12.11,45.67,2,46.71,17.04,21.57,0.38,0.34
E01000128,0.22,0.09,-0.81,16.41,22.99,0.71,30.24,15.29,60.15,2.13,43.86,12.64,20.18,0.36,0.27
E01000129,0.34,0.14,0.01,18.26,25.7,0.9,35.81,19.15,69.14,0.86,50.53,16.24,20.29,0.55,0.39
E01000130,0.24,0.12,-0.41,16.1,33.79,0.6,31.23,28.37,36.95,20.28,47.3,18.57,13.63,0.39,0.33
E01000131,0.16,0.09,-0.88,8.35,31.48,0.16,19.57,18.11,22.48,17.57,45.39,9.26,7.44,0.25,0.21
E01000132,0.27,0.11,-0.6,27.98,23.69,0.43,20.08,13.2,33.84,1.65,45.73,28.71,27.24,0.41,0.34
E01000133,0.27,0.15,-0.12,22.91,28.2,0.22,15.93,9.83,28.11,9.32,47.08,21.33,24.48,0.43,0.3
E01000134,0.26,0.11,-0.59,14.93,27.23,-0.29,18.83,16.61,23.28,3.55,50.9,18.75,11.11,0.43,0.41
E01000135,0.08,0.03,-1.19,2.42,26.01,0.32,21.55,10.36,43.92,8.83,43.2,4.45,0.38,0.12,0.11
E01000136,0.04,0.03,-1.48,3.49,26.1,0.81,28.52,4.71,76.15,15.08,37.11,6.8,0.18,0.02,0.11
E01000137,0.3,0.12,0.15,18.44,32.85,0.29,33.07,29.5,40.21,14.76,50.95,28.66,8.21,0.45,0.34
E01000138,0.17,0.07,-0.51,5.86,32.73,0.83,23.44,15.96,38.4,19.04,46.43,9.93,1.8,0.32,0.21
E01000139,0.09,0.05,-0.63,2.71,26.66,0.85,30.9,19.85,53.01,11.34,41.99,4.69,0.72,0.13,0.13
E01000140,0.13,0.06,-0.22,16.81,28.61,0.3,32.79,27.08,44.19,12.87,44.35,32.91,0.71,0.26,0.22
E01000141,0.22,0.09,-0.42,4.94,26.46,1.63,53.5,34.64,91.21,3.87,49.05,8.18,1.7,0.35,0.26
E01000142,0.21,0.09,-0.46,8.29,26.52,0.37,23.67,16.28,38.45,8.73,44.31,14.68,1.91,0.41,0.24
E01000143,0.25,0.13,-0.23,16.2,30.3,0.8,30.11,16.31,57.72,14.14,46.45,25.58,6.81,0.42,0.29
E01000144,0.06,0.03,-1.48,1.17,26.86,1.16,41.82,22.85,79.75,3.97,49.74,2.11,0.24,0.09,0.18
E01000145,0.08,0.04,-1.21,1.32,22.69,0.35,22.93,10.92,46.95,5.9,39.47,1.88,0.75,0.09,0.11
E01000146,0.05,0.04,-0.62,2.43,24.95,1.17,41.41,26.95,70.31,1.53,48.36,4.56,0.3,0.06,0.12
E01000147,0.16,0.07,-1.3,5.33,23.65,0.26,27.18,10.34,60.84,6.1,41.21,4.57,6.08,0.25,0.22
E01000148,0.26,0.13,-0.04,10.5,28.15,-0.34,38.42,29.42,56.41,4.72,51.58,11.94,9.06,0.39,0.43
E01000149,0.11,0.06,-1.33,7.29,30.3,0.32,28.5,17.63,50.23,19.04,41.56,10.05,4.54,0.22,0.13
E01000150,0.18,0.09,-0.96,8.41,30.71,0.33,25.47,19.33,37.74,15.62,45.8,8.67,8.15,0.34,0.21
E01000151,0.4,0.17,-0.39,13.82,39.86,0.1,21.63,27.27,10.37,20.88,58.84,17.5,10.13,0.55,0.45
E01000152,0.41,0.16,-0.31,17.5,29.61,-0.15,21.97,28.53,8.85,7.79,51.43,25.13,9.88,0.6,0.29
E01000153,0.36,0.19,-0.28,21.42,37.69,0.58,20.25,17.31,26.11,26.43,48.94,22.85,19.99,0.58,0.39
E01000154,0.43,0.19,-0.31,26.26,38.03,0.64,20.62,16.7,28.45,26.02,50.04,33.07,19.45,0.71,0.29
E01000155,0.21,0.1,-0.61,4.95,42.65,-0.48,32.14,35.53,25.36,25.98,59.33,7.51,2.4,0.47,0.29
E01000156,0.12,0.07,-0.58,2.03,19.06,0.75,32.63,37.65,22.61,0.31,37.81,2.18,1.87,0.16,0.19
E01000157,0.18,0.06,-0.65,8.02,23.75,0.12,30.82,37.44,17.59,4.43,43.07,12.36,3.68,0.32,0.27
E01000158,0.16,0.09,-0.62,6.3,22.26,0.4,31.11,32.29,28.74,1.81,42.7,5.64,6.97,0.22,0.22
E01000159,0.15,0.08,-1.11,4,29.71,0.56,16.23,14.81,19.09,21.4,38.01,3.88,4.13,0.26,0.16
E01000160,0.12,0.07,-0.91,2.86,21.73,0.29,9.99,11.92,6.15,4.18,39.28,3.88,1.83,0.15,0.21
E01000161,0.14,0.06,-1.21,4.16,22.8,0.42,24.69,18.31,37.47,1.91,43.7,5.8,2.53,0.25,0.29
E01000162,0.18,0.08,-0.53,5.92,22.06,0.55,33.92,18.84,64.07,4.32,39.8,6.7,5.14,0.28,0.27
E01000163,0.29,0.15,0.19,10.72,32.81,0.02,22.2,26.07,14.45,17.02,48.59,14.63,6.81,0.43,0.37
E01000164,0.27,0.11,-0.49,13.08,26.85,1.22,31.64,18.7,57.52,9.55,44.15,14.71,11.46,0.5,0.36
E01000165,0.09,0.05,-1.22,3.74,37.07,-0.04,10.05,6.73,16.7,33.52,40.61,5.38,2.09,0.15,0.18
E01000166,0.13,0.07,-0.99,12.04,28.82,-0.16,10.91,8.83,15.08,20.19,37.45,16.54,7.55,0.24,0.15
E01000167,0.18,0.11,-0.59,24.97,30.73,-0.23,19.47,22,14.41,21.92,39.54,25.24,24.69,0.32,0.23
E01000168,0.06,0.05,-1.76,2.55,15.88,-0.17,9.19,5.02,17.52,5.76,26.01,2.33,2.77,0.07,0.1
E01000169,0.08,0.06,-1.31,2.95,23.48,0.12,16.5,16.62,16.27,5.38,41.57,3.19,2.71,0.17,0.1
E01000170,0.16,0.1,-0.63,8.35,21.06,0.49,22.19,21.91,22.75,1.63,40.49,7.14,9.55,0.22,0.23
E01000171,0.18,0.09,-1.56,7.4,22.78,0.32,26.98,34.89,11.17,0.99,44.57,9.98,4.83,0.35,0.18
E01000172,0.09,0.05,-1.38,3.03,23.65,-0.12,14.02,11.89,18.26,16.99,30.31,2.93,3.13,0.13,0.11
E01000173,0.1,0.05,-1.65,4.87,19.12,0.13,11.82,11.75,11.94,4.04,34.2,4.01,5.72,0.14,0.2
E01000174,0.13,0.08,-1.11,7.87,21.38,0.33,30.61,41.36,9.13,0.9,41.87,7.11,8.63,0.19,0.24
E01000175,0.08,0.05,-1.36,3.48,20.92,0.14,14.85,15.38,13.79,12.64,29.19,2.32,4.63,0.11,0.11
E01000176,0.25,0.14,-0.48,11.9,38.95,0.02,16.25,10.88,26.98,26.7,51.2,13.92,9.88,0.34,0.31
E01000177,0.07,0.04,-0.81,3.1,23.33,0.57,31.2,20.52,52.55,14.08,32.58,5.65,0.55,0.1,0.15
E01000178,0.12,0.07,-0.57,0.51,21.09,0.64,25.24,18.56,38.58,5.17,37.01,0.3,0.71,0.14,0.23
E01000179,0.08,0.05,-1.28,2.9,35,-0.08,33.72,33.75,33.66,28.22,41.78,5.03,0.77,0.15,0.23
E01000180,0.2,0.09,-0.72,3.18,25.01,-0.35,21.54,12.85,38.93,9.57,40.45,4.92,1.44,0.28,0.37
E01000181,0.1,0.06,-0.71,0.98,20.55,0.34,43.95,31.08,69.69,0.46,40.64,1.64,0.32,0.09,0.23
E01000182,0.07,0.06,-1.12,0.36,21.12,0.13,39.27,27.17,63.45,0.76,41.48,0.4,0.31,0.05,0.16
E01000183,0.1,0.06,-1.1,0.96,30.22,0.13,21.15,13.74,35.97,23,37.44,1.33,0.58,0.09,0.19
E01000184,0.37,0.18,0.13,27.51,38.55,1.2,30.76,17.03,58.23,32.33,44.78,42.1,12.91,0.62,0.34
E01000185,0.37,0.17,0.16,14,30.19,0.23,29.54,20.28,48.07,12.61,47.78,17.87,10.12,0.53,0.6
E01000186,0.07,0.04,-1.65,2.72,22.88,-0.19,15.01,3.98,37.08,19.25,26.52,2.71,2.73,0.09,0.11
E01000187,0.18,0.08,-0.98,7.27,22.2,-0.31,11,5.78,21.45,1.72,42.69,8.74,5.81,0.25,0.27
E01000188,0.05,0.03,-1.48,3.1,21.26,0.33,16.59,4.44,40.9,14.42,28.11,4.45,1.75,0.08,0.1
E01000189,0.42,0.2,0.35,24.58,32.68,0.05,22.53,27.9,11.78,15.93,49.42,31.37,17.78,0.58,0.47
E01000190,0.1,0.05,-1.65,3.48,29.91,0.07,15.27,7.38,31.05,28.62,31.21,2.24,4.72,0.15,0.11
E01000191,0.1,0.04,-1.59,2.23,26.74,-0.13,17.62,6.99,38.88,24.66,28.81,1.6,2.85,0.17,0.15
E01000192,0.14,0.07,-1.16,2.38,23.48,0.58,28.57,19.12,47.47,8.17,38.8,3.02,1.75,0.29,0.15
E01000193,0.12,0.07,-1.05,2.05,20.3,0.61,26.67,11.12,57.77,4.11,36.49,2.8,1.31,0.2,0.13
E01000194,0.15,0.09,-0.92,9.48,26.61,0.89,38.25,26.72,61.29,9.38,43.84,14.75,4.2,0.31,0.17
E01000195,0.31,0.14,-0.44,18.06,32.64,0.17,18.52,17.92,19.72,18.7,46.59,17.06,19.06,0.52,0.31
E01000196,0.1,0.07,-0.83,2.16,24.03,-0.73,30.8,29.01,34.38,4.16,43.89,3.64,0.67,0.15,0.16
E01000197,0.09,0.06,-1.04,2.6,26.01,-0.02,32.69,27.85,42.38,8.35,43.66,4.5,0.69,0.14,0.18
E01000198,0.08,0.05,-1.61,2.99,37.1,-0.12,16.46,9.28,30.81,38.16,36.03,5.18,0.8,0.09,0.13
E01000199,0.08,0.04,-1.32,0.49,29.36,-0.33,14.98,8.17,28.59,25.3,33.42,0.37,0.61,0.12,0.08
E01000200,0.09,0.07,-0.8,1.46,26.49,0.01,29.9,21.84,46.04,12.96,40.02,2.38,0.53,0.09,0.14
E01000201,0.06,0.03,-1.64,0.6,21.34,0.25,26.09,5.63,67.01,9.38,33.29,0.48,0.73,0.05,0.1
E01000202,0.08,0.05,-0.94,0.71,21.87,-0.12,21.82,13.42,38.63,4.87,38.88,1.01,0.41,0.09,0.14
E01000203,0.2,0.1,-1.03,4.6,41.45,0.14,34.33,21.79,59.4,40.23,42.68,6.91,2.29,0.34,0.23
E01000204,0.09,0.05,-1.36,1.1,24.21,0.06,25.86,17.04,43.5,5.64,42.78,1.43,0.77,0.12,0.15
E01000205,0.06,0.04,-1.71,0.29,23.54,0.34,9.51,6.84,14.86,17.91,29.17,0.16,0.41,0.09,0.08
E01000206,0.04,0.02,-1.47,0.81,38.68,0.2,21.65,6.45,52.04,47.18,30.19,1.02,0.6,0,0.12
